oracion_español,oracion_transformada_lse
Mi hermana estudia inglés en la academia todos los lunes.,LUNES TODOS ACADEMIA MI HERMANA INGLÉS ESTUDIAR
El perro corre por el parque cada mañana.,MAÑANA CADA PARQUE PERRO CORRER
Los niños juegan al fútbol en el colegio por la tarde.,TARDE COLEGIO NIÑOS FÚTBOL JUGAR
María trabaja en el hospital desde las ocho.,OCHO DESDE HOSPITAL MARÍA TRABAJAR
El tren sale de la estación a las tres.,TRES ESTACIÓN TREN SALIR
Pedro compra el pan en la panadería cada día.,DÍA CADA PANADERÍA PEDRO PAN COMPRAR
La profesora explica la lección en clase todas las semanas.,SEMANAS TODAS CLASE PROFESORA LECCIÓN EXPLICAR
Mi padre cocina la cena en casa los domingos.,DOMINGOS CASA MI PADRE CENA COCINAR
Los estudiantes leen libros en la biblioteca por las tardes.,TARDES BIBLIOTECA ESTUDIANTES LIBROS LEER
Carmen baila flamenco en el teatro cada sábado.,SÁBADO CADA TEATRO CARMEN FLAMENCO BAILAR
El médico atiende pacientes en la consulta por la mañana.,MAÑANA CONSULTA MÉDICO PACIENTES ATENDER
Juan pasea con su perro por la playa todos los días.,DÍAS TODOS PLAYA JUAN PERRO SU PASEAR
La abuela teje una bufanda en el sofá cada tarde.,TARDE CADA SOFÁ ABUELA BUFANDA TEJER
Los turistas visitan el museo los fines de semana.,FINES SEMANA MUSEO TURISTAS VISITAR
El cartero entrega las cartas en el edificio a las diez.,DIEZ EDIFICIO CARTERO CARTAS ENTREGAR
Mi madre riega las plantas en el jardín cada mañana.,MAÑANA CADA JARDÍN MI MADRE PLANTAS REGAR
Los obreros construyen el puente en la ciudad desde enero.,ENERO DESDE CIUDAD OBREROS PUENTE CONSTRUIR
Ana escribe correos en la oficina todas las mañanas.,MAÑANAS TODAS OFICINA ANA CORREOS ESCRIBIR
El gato duerme en la cama por las tardes.,TARDES CAMA GATO DORMIR
Los amigos cenan en el restaurante los viernes.,VIERNES RESTAURANTE AMIGOS CENAR
El conductor maneja el autobús por las calles cada día.,DÍA CADA CALLES CONDUCTOR AUTOBÚS MANEJAR
Mi tío pesca en el río los domingos.,DOMINGOS RÍO MI TÍO PESCAR
La secretaria organiza los documentos en el despacho cada lunes.,LUNES CADA DESPACHO SECRETARIA DOCUMENTOS ORGANIZAR
Los pájaros cantan en los árboles todas las mañanas.,MAÑANAS TODAS ÁRBOLES PÁJAROS CANTAR
El mecánico repara coches en el taller desde las nueve.,NUEVE DESDE TALLER MECÁNICO COCHES REPARAR
Laura lee el periódico en la terraza cada domingo.,DOMINGO CADA TERRAZA LAURA PERIÓDICO LEER
Los bomberos entrenan en el cuartel por las mañanas.,MAÑANAS CUARTEL BOMBEROS ENTRENAR
Mi hermano juega videojuegos en su habitación cada noche.,NOCHE CADA HABITACIÓN MI HERMANO VIDEOJUEGOS JUGAR
El jardinero corta el césped en el parque los martes.,MARTES PARQUE JARDINERO CÉSPED CORTAR
Rosa compra verduras en el mercado todas las semanas.,SEMANAS TODAS MERCADO ROSA VERDURAS COMPRAR
El piloto vuela aviones desde el aeropuerto cada día.,DÍA CADA AEROPUERTO PILOTO AVIONES VOLAR
Los actores ensayan la obra en el escenario por las tardes.,TARDES ESCENARIO ACTORES OBRA ENSAYAR
Mi prima estudia medicina en la universidad desde septiembre.,SEPTIEMBRE DESDE UNIVERSIDAD MI PRIMA MEDICINA ESTUDIAR
El panadero hornea el pan en la panadería cada madrugada.,MADRUGADA CADA PANADERÍA PANADERO PAN HORNEAR
Los periodistas escriben noticias en la redacción todos los días.,DÍAS TODOS REDACCIÓN PERIODISTAS NOTICIAS ESCRIBIR
El fotógrafo toma fotos en el estudio los sábados.,SÁBADOS ESTUDIO FOTÓGRAFO FOTOS TOMAR
María canta en el coro de la iglesia cada domingo.,DOMINGO CADA IGLESIA CORO MARÍA CANTAR
Los científicos investigan en el laboratorio desde hace meses.,MESES HACE DESDE LABORATORIO CIENTÍFICOS INVESTIGAR
El carpintero fabrica muebles en su taller todas las semanas.,SEMANAS TODAS TALLER SU CARPINTERO MUEBLES FABRICAR
Mi vecina pasea a su bebé por el parque cada tarde.,TARDE CADA PARQUE MI VECINA BEBÉ SU PASEAR
Los deportistas entrenan en el gimnasio por las mañanas.,MAÑANAS GIMNASIO DEPORTISTAS ENTRENAR
